,City name,Reporting year (CDP),Year of emission,Total emissions (CDP) [tCO2-eq],CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Country,Population (CDP),Population year (CDP),City area (CDP) [km2],Built-up area (PKU) [km2],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Income per capita (PKU) [RMB/capita],Total final consumption per capita (GEA) [GJ/capita/yr],Household size (GEA+) [people/household],Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Population density [people/km2],GDP (USD)
313,Windhoek,2016,2016,,,"(-22.5609, 17.065755)",Namibia,325858,2011,5133,,,,,,,,,1.12,1.08,31.125,36.9375,36.8125,32.75,67.4375,80.75,0.487279843,0.353892216,0.313131313,0.512720157,0.646107784,0.686868687,1097.523862,8512.419244,1153.936047,2332.975783,1974.316568,3755.11209,,,,,,,63.48295344,2448.729721
314,"Windsor, ON",2016,2014,2482412,,"(42.314937, -83.036363)",Canada,210891,2011,146.3,,190,10.7,,,2.9,18.8,2011,1.16,1.17,,,,,,,,,,,,,,,,,,,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1441.496924,8749775199
315,Winnipeg,2016,1998,5257325,,"(49.8997541, -97.1374937)",Canada,718400,2015,464,,230,2.4,,,2.9,23.3,2011,1.16,1.17,107.9375,112.9375,117.625,253.875,270.8125,296.9375,0.298324408,0.294299674,0.283732851,0.701675592,0.705700326,0.716267149,929.0658206,1704.43937,388.9643683,2151.767669,365.5815176,2277.801952,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1548.275862,32478000000
316,Wonju,2016,2012,,,"(37.342218599999995, 127.9201621)",South Korea,326321,2012,867.63,,,,,,,,,1.37,1.55,25.8125,31.75,35.625,16.5625,19.4375,23.375,0.609144543,0.62026862,0.603813559,0.390855457,0.37973138,0.396186441,1679.634793,8158.780107,1158.600729,10365.57278,1210.303129,10685.18102,,,,,,,376.1061743,5905759903
317,Wuhan,2016,2010,,0.95,"(30.5833333333, 114.28333333299999)",China,8188400,,8494.41,822.2,,,40806.05,75.63830571,3.52,,,1.09,1.17,318.4375,385.25,465.5625,328.6875,421.6875,594,0.492080355,0.477422353,0.439391258,0.507919645,0.522577647,0.560608742,1223.01399,6330.371566,1968.85091,13917.69174,1336.744969,12900.7162,,,,,,,963.9751319,68558096596
318,Wuxi,2016,2010,,1.466339688,"(31.5666666667, 120.3)",China,3542319,,,454.4,,,49705.69,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,44910667588
319,"Xi'an, Shaanxi",2016,2010,,1.64,"(34.2666666667, 108.9)",China,7531100,2015,9983,509.9,,,39490.19,42.48141389,3.61,,,1.09,1.17,402.75,444.875,494.125,365.875,499,637.25,0.52398764,0.471328301,0.436747321,0.47601236,0.528671699,0.563252679,1158.134548,8633.136259,1843.446987,10309.36613,1455.385979,10025.10733,,,,,,,754.3924672,41547685792
320,Xiamen,2016,2010,,1.05,"(24.479836111100003, 118.089419444)",China,1603800,2010,1699.39,341.8,,,40282.94,103.2476465,3.22,,,1.09,1.17,485,491.5,486.875,553.8125,601.125,711.125,0.466879249,0.449834115,0.406406511,0.533120751,0.550165885,0.593593489,1106.828866,8994.520926,500.3373648,4331.495326,679.3987188,7085.004046,,,,,,,943.7504046,30978564271
321,Xiangtan,2016,2010,,0.433605335,"(27.85, 112.9)",China,684600,,280,112.3,,,28614.2,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,2445,7960359575
322,Xiangyang,2016,2010,,0.691752,"(32.016999999999996, 112.133)",China,2199689,,3672.9,131.2,,,29145.94,,,,,1.09,1.17,100,113.625,123.1875,104.5625,115.1875,153.6875,0.488848152,0.496585632,0.444920993,0.511151848,0.503414368,0.555079007,2193.240953,8025.471425,1832.368289,11233.63426,1236.689942,8123.4129,,,,,,,598.8970568,12929591638
323,Xining,2016,2010,,0.573927022,"(36.6333333333, 101.76666666700001)",China,2127300,,7372,127.7,,,33465.79,50.63189649,4.11,,,1.09,1.17,82.1875,82.5,83.4375,100.8125,104.6875,115.9375,0.449112022,0.440734558,0.418495298,0.550887978,0.559265442,0.581504702,2978.965586,9850.489073,925.8033746,9768.349354,1133.138267,11090.61521,,,,,,,288.5648399,6622740995
324,Xinxiang,2016,2010,,0.265358209,"(35.3, 113.866666667)",China,1047020,,346,118.9,,,24732.98,,,,,1.09,1.17,98.125,100.8125,114.5625,121.5,136.125,185.1875,0.446784291,0.425481403,0.382193495,0.553215709,0.574518597,0.617806505,2997.526938,8756.26602,839.5797939,7465.647077,578.4855608,5943.504531,,,,,,,3026.069364,4986734326
325,Xuzhou,2016,2010,,1.231656,"(34.2666666667, 117.21666666700001)",China,3053778,,3037,285.8,,,40172.96,,,,,1.09,1.17,254.0625,277.375,285.375,248.9375,302.4375,391.1875,0.505094433,0.47838741,0.421801386,0.494905567,0.52161259,0.578198614,428.7779427,5435.244838,929.3454257,7269.095966,622.9277795,5359.730256,,,,,,,1005.524531,26758932508
326,Yantai,2016,2010,,1.176500395,"(37.535, 121.38916666700001)",China,2227733,,,265.9,,,37765.78,,,,,1.09,1.17,84.25,95.8125,97.5625,117.125,149.9375,198.5625,0.418373681,0.389877925,0.329463909,0.581626319,0.610122075,0.670536091,346.8729775,5046.337387,1487.489036,7058.092992,1375.568347,5675.252283,,,,,,,,27973954047
327,Yilan,2016,2013,8180556.68,,"(24.702107, 121.73775)",Taiwan,458777,2014,2143,,20,22.3,,,2.88,,,0.98,0.98,71.125,71.125,58.375,76.4375,76.4375,100.0625,0.481999153,0.481999153,0.368441815,0.518000847,0.518000847,0.631558185,761.5612758,8929.978455,360.7141563,2214.489787,247.6143076,1659.672122,0,1,0,0.012921381,0.014924653,0.014924653,214.0816612,
328,Yinchuan,2016,2010,,1.411156115,"(38.4666666667, 106.26666666700001)",China,1446800,,2045,187.8,,,46503.15,148.5460333,3.76,,,1.09,1.17,36.125,55.125,131.5,27.9375,36.6875,77.625,0.563902439,0.600408441,0.62881052,0.436097561,0.399591559,0.37118948,435.7688321,5600.300812,7122.018199,15934.52345,3460.822919,15219.01311,,,,,,,707.4816626,7699854208
329,Yokohama,2016,2013,21950000,,"(35.4437078, 139.6380256)",Japan,3719589,2015,437,,37.1,16,,,2.26,51.5,,1.1,1.38,,,,,,,,,,,,,,,,,,,0,1,0,0.002518209,0.002887223,0.002887223,8511.645309,1.04E+11
330,Yonkers,2016,2010,1248650,,"(40.9414, -73.8644)",USA,199766,2013,47,,25,10.8,,,2.69,33.2,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,4250.340426,
331,Zaragoza,2016,2014,1785603.75,,"(41.608629, -0.887012)",Spain,661108,2015,969,,208,16.3,,,2.4,23.22,2011,1.55,1.63,60.0625,67.375,82.375,66.5,72.0625,86.875,0.474567901,0.483191394,0.486706056,0.525432099,0.516808606,0.513293944,896.0842569,13646.80537,889.0254295,7912.989894,828.8245317,7174.503303,0,1,0,0.01302459,0.014090608,0.014090608,682.2579979,28593720000
332,Zhangjiakou,2016,2010,,0.606961997,"(40.7666666667, 114.883333333)",China,4345485,2010,36861.56,145.1,,,35681.25,,,,,1.09,1.17,49.0625,58.375,85.4375,66.8125,73,106.9375,0.423408846,0.444338725,0.444119558,0.576591154,0.555661275,0.555880442,2666.885007,11072.41909,1173.445166,9633.898286,659.6944601,6917.854197,,,,,,,117.8866277,5435884881
333,Zhanjiang,2016,2010,,0.69,"(21.2, 110.4)",China,1611868,,1360,95.1,,,38476.71,,,,,1.09,1.17,104.875,121.3125,135.5,80.625,111.0625,139.875,0.565363881,0.522054868,0.492056287,0.434636119,0.477945132,0.507943713,2242.037912,5341.27686,693.2277663,7947.469132,624.2330563,7729.812945,,,,,,,1185.197059,11565003122
334,Zhaozhuang,2016,2010,,0.911088,"(34.8666666667, 117.55)",China,2125481,,3069,119.8,,,33456.58,,,,,1.09,1.17,104,122.6875,134.9375,97.3125,126.8125,165.375,0.516609749,0.491733467,0.449323621,0.483390251,0.508266533,0.550676379,2266.381908,9981.126887,736.1106699,5472.55393,571.5455334,4463.378308,,,,,,,692.564679,10949118665
335,Zhengzhou,2016,2010,,1.333451,"(34.7666666667, 113.65)",China,6916200,,1024,495.6,,,35794.33,64.53044691,3.6,,,1.09,1.17,164.0625,242.875,335.625,187.25,290,397.4375,0.466998755,0.455782313,0.457839543,0.533001245,0.544217687,0.542160457,909.7314644,6306.013134,1759.695118,10922.43552,1340.80633,11901.02483,,,,,,,6754.101563,26374684234
336,Zhuzhou,2016,2010,,0.52,"(27.85, 113.133333333)",China,2416000,,,120.7,,,36828.15,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,9744664048
337,Zibo,2016,2010,,1.197912,"(36.7833333333, 118.05)",China,3129228,,2972,384.7,,,35620.91,,,,,1.09,1.17,261.9375,300.6875,321.9375,358.0625,415.1875,495.3125,0.422479839,0.420027938,0.393927807,0.577520161,0.579972062,0.606072193,599.5933362,5719.972235,625.7403167,4839.845834,528.4910141,4535.604936,,,,,,,1052.903096,33361270487
338,Zürich,2016,2014,1822367,,"(47.3686498, 8.5391825)",Switzerland,404783,2014,92,,408,8.8,,94.75,2.16,40.7,2014,1.79,1.74,139.1875,142.375,148.875,235.8125,241.75,249.4375,0.371166667,0.370647576,0.373764318,0.628833333,0.629352424,0.626235682,498.039928,3793.050695,308.4121647,3359.7552,368.4850884,3915.499909,0,1,0,0.003827623,0.007949217,0.007949217,4399.815217,1.09065E+11
339,eThekwini,2016,2015,,,"(-29.8587, 31.02184)",South Africa,3765088,2015,2291,,,,,39,4.15,,,1.17,1.19,384,391,381.8125,583.125,671.25,775.625,0.397053121,0.368086609,0.329877423,0.602946879,0.631913391,0.670122577,297.2913969,2358.530419,794.0345483,3754.738035,554.1960954,3898.099914,,,,,,,1643.425578,18885044716
340,Águeda,2016,2013,258882,,"(40.575302, -8.445822)",Portugal,47729,2011,335,,31,15,,,,14.0198761,2011,1.64,1.89,27.75,30.9375,31.9375,22.3125,30.5,35.5,0.554307116,0.503560529,0.473586654,0.445692884,0.496439471,0.526413346,648.8081417,4940.649643,245.2195752,797.0138569,185.4844091,701.4899807,0,1,0,0.031127579,0.036136885,0.036136885,142.4746269,
341,Örebro,2016,2015,,,"(59.2667, 15.2167)",Sweden,146631,2016,49.27,,,,,104.1067759,2.01,,,1.82,1.82,17.25,17.75,19.0625,26.25,28.375,29.375,0.396551724,0.384823848,0.393548387,0.603448276,0.615176152,0.606451613,385.6931667,3109.520537,476.2970054,3299.836203,551.040386,3681.69311,,,,,,,2976.070631,6338383838
342,Ürümqi (Wulumqi),2016,2010,,1.915662,"(43.825, 87.6)",China,2018400,2017,14577,285.4,,,41207.99,110.2668608,3.5,,,1.09,1.17,137.6875,156.4375,180.75,241.875,263.625,290.3125,0.36275317,0.372414819,0.383707045,0.63724683,0.627585181,0.616292955,444.6601697,7340.348693,595.381827,7530.567408,841.8921602,10744.58011,,,,,,,138.4647047,19855656063
