,City name,Reporting year (CDP),Year of emission,Total emissions (CDP) [tCO2-eq],CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Country,Population (CDP),Population year (CDP),City area (CDP) [km2],Built-up area (PKU) [km2],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Income per capita (PKU) [RMB/capita],Total final consumption per capita (GEA) [GJ/capita/yr],Household size (GEA+) [people/household],Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Population density [people/km2],GDP (USD)
260,Santiago de Guayaquil,2016,2014,6787374,,"(-2.170998, -79.922359)",Ecuador,2350915,2010,5047,,,26,,,,,,0.29,0.6,76.4375,75.5,87.5,163.0625,181.5,199.5625,0.319154489,0.293774319,0.30481167,0.680845511,0.706225681,0.69518833,473.7865543,3839.467717,969.5977312,11993.27724,1101.79889,13733.11244,0,240000000,0,0.005414334,0.015064551,0.015064551,465.8044383,
261,Sao Paulo,2016,2011,,,"(-23.5505, -46.633309000000004)",Brazil,11253503,2010,1522.986,,,,,22.97259837,3.14,,,1.02,1.27,781.8125,840.9375,901.125,2086.6875,2146.0625,2214.6875,0.272550985,0.281532474,0.289210278,0.727449015,0.718467526,0.710789722,1341.521337,9884.857872,428.0396329,8451.181364,456.9617758,9351.468656,,,,,,,7389.104693,4.3051E+11
262,Sapporo,2016,2014,,,"(43.062, 141.3544)",Japan,1952356,2015,1121.26,,70.2,,,,2.12,28,,1.1,1.38,161,164.6875,174.5625,347.5,360,363.8125,0.316617502,0.313877308,0.32423961,0.683382498,0.686122692,0.67576039,562.0199314,5674.434614,454.8345049,6089.347428,433.774003,5629.007227,,,,,,,1741.216132,80464000000
263,Savannah,2017,2014,3609546,,"(32.0835, -81.0998)",USA,145674,2015,175,,15,19,,,2.51,19.7,(2011-2015) ,0.97,0.86,59.125,59.25,60.875,86.1875,90.6875,93.1875,0.40688172,0.395164652,0.395131846,0.59311828,0.604835348,0.604868154,436.8529769,1085.347794,500.7969654,971.7410648,614.2099498,1128.806838,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,832.4228571,15905000000
264,Seattle,2016,2012,5222000,,"(47.6062095, -122.3320708)",USA,662400,2015,3692,,15,11,,154.1960171,2.49,27.6,2013,0.97,0.86,785.4375,792.625,784.0625,1599.4375,1721.5,1798.4375,0.32934116,0.315268732,0.303606002,0.67065884,0.684731268,0.696393998,449.3408735,849.743879,247.8398179,1431.710965,239.1735242,1648.193615,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,179.4149512,2.67473E+11
265,Seberang,2016,2016,,,"(5.377294, 100.40014599999999)",Malaysia,1016000,2016,751,,,,,,,,,0.65,0.68,296.8125,291.6875,295.5,408,504.625,546.0625,0.421122639,0.366297779,0.351132566,0.578877361,0.633702221,0.648867434,1542.176254,13730.13543,269.8942681,2343.366549,321.6297698,2917.746144,,,,,,,1352.86285,
266,Semarang,2016,2010,,,"(-6.96667, 109.417)",Indonesia,1500000,2010,373.78,,,,,,,,,0.8,0.93,899.9375,1105.1875,1251.0625,562,734,1139.0625,0.615578641,0.600910728,0.523429737,0.384421359,0.399089272,0.476570263,1487.600394,11123.72161,1266.652096,7779.868231,862.5761558,5657.644829,,,,,,,4013.055808,9000000000
267,Sendai,2016,2011,,,"(38.2681, 140.87)",Japan,1073242,2014,786.3,,105.5,,,,2.18,28.5,,1.1,1.38,159.375,178.5,185.8125,258.1875,291.25,311.9375,0.381679389,0.379989356,0.373304872,0.618320611,0.620010644,0.626695128,6911.877996,11446.81123,433.8899356,4582.446484,394.7643037,4219.059654,,,,,,,1364.926873,75317000000
268,Seoul,2016,2013,47612664,,"(37.566535, 126.9779692)",South Korea,10297138,2015,605,,85,12.1,,,2.51,47.95,2017,1.37,1.55,1144,1232,1282,1251.0625,1519.9375,1749.5625,0.477649331,0.447684586,0.422884239,0.522350669,0.552315414,0.577115761,1026.267751,3280.477596,888.642792,12698.72739,1142.515942,12838.7509,0,1,0,0.010932594,0.015716213,0.015716213,17020.06281,8.45906E+11
269,Shanghai,2016,2010,,2.351336718,"(31.2286111111, 121.47472222200001)",China,14502576,2006,6340.5,1921.1,,,71923.6,140.5388316,2.89,,,1.09,1.17,3645.25,4112.625,3873.9375,2201.9375,3295.9375,5733.8125,0.623419379,0.555117811,0.403209648,0.376580621,0.444882189,0.596790352,303255.0453,0,806.5691356,7776.411116,604.9855542,7113.683287,,,,,,,2287.292169,2.55211E+11
270,Shantou,2016,2010,,0.6,"(23.35, 116.666666667)",China,5389328,,2248.39,230.9,,,27836.15,,,,,1.09,1.17,1053.8125,1079.875,1140.6875,2035.5625,2097.0625,2187.9375,0.341108638,0.339910684,0.3426903,0.658891362,0.660089316,0.6573097,2099.655164,9851.281151,668.3178646,4880.719331,713.1003277,5519.839686,,,,,,,2396.972056,18037894433
271,Shenyang,2016,2010,,2.04,"(41.8, 123.4)",China,7035600,,12942,591,,,42649.95,107.2438108,3.14,,,1.09,1.17,497.6875,541.4375,612.6875,778.5625,873.5625,1179.75,0.389960823,0.382641343,0.341818055,0.610039177,0.617358657,0.658181945,1593.883907,6975.420366,886.0418658,7372.014083,599.6544359,6155.902789,,,,,,,543.6254057,62931004120
272,Shenzhen,2016,2010,,1.973702001,"(22.55, 114.1)",China,7233375,2017,2050,932.6,,,50455.03,94.40970309,3.65,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,3528.47561,1.44083E+11
273,Shijiazhuang,2016,2010,,1.268137551,"(38.0666666667, 114.48333333299999)",China,9395000,,15722,297.3,,,33339.28,69.40756676,3.28,,,1.09,1.17,298.75,361.25,374,513.5,647.125,775.5,0.367805479,0.358249659,0.325358852,0.632194521,0.641750341,0.674641148,496.8232791,5072.635372,389.8062314,5531.23185,368.1929401,5224.728993,,,,,,,597.5702837,18643338284
274,Shimla,2016,2013,,,"(31.10482, 77.17340300000001)",India,169758,2011,35.34,,,,,,,,,0.91,1.1,0.625,1.9375,4.625,0,0,0,1,1,1,0,0,0,2497.750819,15147.15711,111054.1653,0,51553.33075,0,,,,,,,4803.565365,333092313.3
275,Singapore,2016,2010,,,"(1.283333, 103.833333)",Singapore,5535000,2015,710,,,,,158.3691184,3.5,,,1.16,1.58,371.625,416.375,458.5625,600,720.5625,793.625,0.382477808,0.366225056,0.366209134,0.617522192,0.633774944,0.633790866,282.4956264,2119.322359,472.9946535,6750.024184,657.1571681,9022.886523,,,,,,,7795.774648,3.65928E+11
276,"Somerville, MA",2016,2014,586308,,"(42.393449, -71.082647)",USA,78900,2014,10.3,,4,,,,2.35,29.7,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,7660.194175,
277,Sorocaba,2016,2012,1113971,,"(-23.4774899, -47.4220615)",Brazil,644919,2015,450,,601,20.8,,,3.25437836,,,1.02,1.27,83.25,88.6875,91.0625,143.75,155.0625,168.625,0.366740088,0.363846154,0.350661853,0.633259912,0.636153846,0.649338147,1042.723228,1498.523946,258.5516709,3764.94504,231.2404891,4454.592605,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,1433.153333,21000000000
278,St Louis,2016,2014,8703679.12,,"(38.6270025, -90.1994042)",USA,319294,2010,170.9,,142,13.9,,,2.2,23.6,(2011-2015) ,0.97,0.86,579.625,579.75,592.75,1262.5,1368.8125,1425.75,0.3146502,0.297527023,0.293658657,0.6853498,0.702472977,0.706341343,469.2276383,1101.764725,197.1771132,1224.10218,182.6595568,1213.912113,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1868.308953,1.40584E+11
279,Stockholm,2017,2015,2693442,,"(59.3293235, 18.0685808)",Sweden,923516,2015,216,,50,7,,70.40807367,1.93,35,2009,1.82,1.82,199.0625,217.375,223.6875,308.125,329.5,358.25,0.392483056,0.397485714,0.384384062,0.607516944,0.602514286,0.615615938,651.9351446,6893.056728,511.9676182,4056.250952,566.5527194,4762.161498,0,1,0,0.032253384,0.034690076,0.034690076,4275.537037,1.42953E+11
280,Surat,2016,2011,,,"(21.178283999999998, 72.80769599999999)",India,4466826,2011,326.515,,,,,,,,,0.91,1.1,168.0625,206.625,236.8125,80.625,148.75,287.125,0.675797939,0.581428069,0.451986162,0.324202061,0.418571931,0.548013838,911.2836144,8868.375054,2063.148833,20625.36458,2112.732168,18269.34556,,,,,,,13680.30871,36000000000
281,Suwon,2016,2013,5775155,,"(37.2635727, 127.0286009)",South Korea,1221973,2015,121,,75,13.1,,,2.68,43.5,2017,1.37,1.55,,,,,,,,,,,,,,,,,,,0,1,0,0.010932594,0.015716213,0.015716213,10098.95041,
282,Suzhou,2016,2010,,1.489586129,"(31.3, 120.6)",China,10465994,2010,8488.42,832.1,,,48407,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,1232.973156,53725585400
283,Sydney,2016,2015,3556529,,"(-33.8674869, 151.2069902)",Australia,205339,2015,26,,39,20,,215.9581723,2.7,33,2012,1.28,1.23,535.4375,523.1875,504.875,1359.875,1440.625,1507.3125,0.282506183,0.266414182,0.250908526,0.717493817,0.733585818,0.749091474,103.0198589,1352.728702,118.2150599,2278.088318,115.5337741,2743.988705,31610000000,62640000000,0.5,0.027793371,0.039682077,0.033682684,7897.653846,2.23413E+11
284,Taian,2016,2010,,0.730166834,"(36.2, 117.083333333)",China,1735425,,2086.8,154.3,,,30480.28,,,,,1.09,1.17,62.75,78.375,94.0625,54.75,78.3125,113.25,0.534042553,0.500199442,0.453723244,0.465957447,0.499800558,0.546276756,716.0457374,4920.122942,1278.574328,10436.88965,863.858828,7778.225118,,,,,,,831.620184,9193997663
285,Taipei City,2016,2014,14957404,,"(25.037525, 121.563782)",Taiwan,2704810,2015,272,,60,23,,,2.63,35.28,2014-2017,0.98,0.98,465.625,465.8125,474.625,782.0625,782.0625,792.125,0.373190402,0.373284584,0.374679297,0.626809598,0.626715416,0.625320703,282.6485074,3155.989947,872.7994261,10144.98995,1038.230764,11398.15157,0,1,0,0.012921381,0.014924653,0.014924653,9944.154412,3.27295E+11
286,"Taiyuan, Shanxi",2016,2010,,0.974897782,"(37.8694444444, 112.56027777799999)",China,3488200,,1460,246,,,39453.99,151.4136592,3.61,,,1.09,1.17,211.9375,224.125,236,420.75,453.1875,498.3125,0.334979749,0.330903387,0.321389054,0.665020251,0.669096613,0.678610946,452.2623124,6046.007543,394.2846774,6147.018129,440.3942655,7694.772533,,,,,,,2389.178082,24395465397
287,Tangshan,2016,2010,,1.501608,"(39.6230555556, 118.176111111)",China,3187171,,3874,417.8,,,41297.75,,,,,1.09,1.17,262.0625,291.3125,328,377.75,449.5625,622.9375,0.409592654,0.393200607,0.344922774,0.590407346,0.606799393,0.655077226,275.6911322,3151.531654,498.8260858,4561.015673,343.1639124,3640.298418,,,,,,,822.7080537,34024791054
288,Taoyuan,2017,2014,35764526.02,,"(24.993628, 121.30098)",Taiwan,2153521,2017,1220.9,,,23,,,2.89,,,0.98,0.98,,,,,,,,,,,,,,,,,,,0,1,0,0.012921381,0.014924653,0.014924653,1763.879925,86782000000
289,Thane,2016,2013,,,"(19.1724, 72.957)",India,1886941,2011,147,,,,,,,,,0.91,1.1,578.3125,591,567.75,857.5625,934.75,1066.5625,0.402759641,0.387350483,0.347393782,0.597240359,0.612649517,0.652606218,1723.709573,8392.274007,1323.682823,20315.1704,1634.43985,21563.88797,,,,,,,12836.33333,3702479663
290,Tianjin,2016,2010,,3.64,"(39.1333333333, 117.183333333)",China,7039516,2006,5606.9,1294.1,,,53192.42,139.7169117,3.07,,,1.09,1.17,573.5,668.875,703.8125,846.5625,1033.25,1467.625,0.403855464,0.392964677,0.324122845,0.596144536,0.607035323,0.675877155,629.19698,4766.659207,497.6937371,6082.866477,487.6428044,6383.629675,,,,,,,1255.509462,1.28744E+11
291,Tokyo,2016,2014,70125000,,"(35.6896342, 139.6921007)",Japan,13513734,2015,2188,,43,16.6,,59.78107897,2.05,43.8,2011,1.1,1.38,2418.375,2396.875,2249.3125,5292.4375,5632.125,6068.125,0.313634264,0.298527214,0.270433352,0.686365736,0.701472786,0.729566648,497.1992576,5347.753648,422.312219,5824.281201,400.0255971,5964.577761,0,1,0,0.002518209,0.002887223,0.002887223,6176.295247,1.61679E+12
292,Toluca de Lerdo,2016,2010,,,"(19.282610000000002, -99.655665)",Mexico,819661,2011,452.37,,,,,,,,,1.02,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1811.926078,12000000000
293,Torino,2016,2014,3496156,,"(45.1006374, 7.6680046)",Italy,898714,2014,130,,239,15,,93.46991108,2.06,27.22,2014-2017,2.01,2.14,193.25,195.125,197.0625,294.0625,302.3125,324.75,0.396562781,0.392260334,0.377650018,0.603437219,0.607739666,0.622349982,506.548012,5058.821199,369.4483666,4738.121495,350.560176,4528.179363,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,6913.184615,78836000000
294,Toronto,2016,2013,18320966,,"(43.653226, -79.3831843)",Canada,2753100,2011,634,,77,8,,162.915756,2.8,32.8,2011,1.16,1.17,571.4375,575.4375,579.9375,1514.5625,1690.1875,1882.375,0.273939358,0.253986207,0.235525548,0.726060642,0.746013793,0.764474452,431.4321184,2031.859282,458.8923954,2785.230164,217.5835396,3310.0073,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,4342.429022,2.76313E+11
295,Torres Vedras,2016,2009,260331,,"(38.763669, -9.30148)",Portugal,79465,2011,407,,75,15,,,,19.98967578,2011,1.64,1.89,19.6875,25.25,30.75,7.1875,14.0625,20.4375,0.73255814,0.642289348,0.600732601,0.26744186,0.357710652,0.399267399,333.5842342,4582.771297,210.0195107,1402.696428,148.1664119,1207.476489,0,1,0,0.031127579,0.036136885,0.036136885,195.2457002,
296,Tucson,2016,2012,6659101,,"(32.2217, -110.9265)",USA,529845,2015,587.2,,743,21.6,,,2.45,22.4,(2011-2015) ,0.97,0.86,273.5625,293,307.1875,374.3125,422.0625,449.9375,0.422245804,0.409754392,0.405728909,0.577754196,0.590245608,0.594271091,285.2679048,1276.61652,333.7976951,1340.157964,349.2634398,1627.141487,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,902.3245913,41216000000
297,Turku,2016,2013,1107500,,"(60.4518126, 22.2666303)",Finland,186000,2015,246,,10,5.5,,,1.8,18,2008,1.78,1.89,47.25,49,52,28.5,29.9375,34.9375,0.623762376,0.62074426,0.598130841,0.376237624,0.37925574,0.401869159,4243.81867,17602.17301,748.1290698,5448.846047,723.6525376,5377.812098,0,1,0,0.052871413,0.054185388,0.054185388,756.097561,8700000000
298,Tuxtla Gutiérrez,2016,2010,,,"(16.0, -93.0)",Mexico,553374,2010,412.4,,,,,,,,,1.02,1.03,41,40.5,47.8125,72.375,92.1875,104.25,0.361631753,0.30522845,0.314426634,0.638368247,0.69477155,0.685573366,1344.820376,13974.00415,492.7262929,5580.024533,390.0861388,6492.962571,,,,,,,1341.838021,43345
299,Ubon Ratchathani,2016,2015,,,"(15.2283, 104.8596)",Thailand,79944,2017,29,,,,,,,,,0.9,1.29,49.3125,59.0625,66.3125,33.5625,41.625,49.125,0.595022624,0.586592179,0.574445046,0.404977376,0.413407821,0.425554954,1572.249851,11236.97351,728.0285979,5885.479688,617.2439777,4942.40896,,,,,,,2756.689655,4894.230246
300,Udine,2016,2013,613588,,"(46.0667, 13.2333)",Italy,99528,2013,56,,113,13,,,2,,,2.01,2.14,35.5,38.125,41.75,60,64.0625,68.8125,0.371727749,0.373088685,0.377614471,0.628272251,0.626911315,0.622385529,370.2506858,4911.191292,220.9187933,2077.589277,220.782224,2074.823269,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,1777.285714,
301,Umeå,2016,2013,,,"(63.8258, 20.262999999999998)",Sweden,120058,2015,32.2,,,,,173.3465754,1.99,,,1.82,1.82,15.625,17.1875,19.375,19.6875,20.5,21.5625,0.442477876,0.456053068,0.473282443,0.557522124,0.543946932,0.526717557,505.8128496,2490.631106,472.8082402,3591.61076,498.211036,3688.541604,,,,,,,3728.509317,5341320000
302,"University City, MO",2016,2005,501147,,"(38.6682, -90.3325)",USA,35371,2010,15.3,,160,13.9,,,2.18,21.2,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,2311.830065,
303,Uppsala,2016,2014,,,"(59.85856, 17.638927)",Sweden,217000,2017,48.77,,,,,90.13146398,2.08,,,1.82,1.82,22.0625,27.375,32.625,36.3125,39.6875,45.0625,0.377944325,0.408201305,0.41995173,0.622055675,0.591798695,0.58004827,491.198781,3620.157765,349.7705398,3166.510338,338.8666734,3389.869882,,,,,,,4449.456633,10386419753
304,Valledupar,2016,2013,,,"(10.4742, -73.2436)",Colombia,453212,2015,4977.66,,,,,,,,,1.04,1.08,8,11,10.1875,18,23.8125,29,0.307692308,0.315978456,0.259968102,0.692307692,0.684021544,0.740031898,6052.525578,11690.14383,1288.341652,11788.50035,1499.242649,13499.72808,,,,,,,91.04920786,2615263846
305,Vancouver,2016,2014,2442602,,"(49.261226, -123.1139268)",Canada,603500,2011,115,,45,11,,,2.6,28.4,2011,1.16,1.17,272.5,275.1875,275.4375,666.875,693.3125,728.5,0.290086494,0.284137842,0.274357218,0.709913506,0.715862158,0.725642782,586.6220772,2084.411203,271.2686822,2454.592201,253.5652995,3053.651491,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,5247.826087,1.09805E+11
306,Venezia,2016,2005,1418344,,"(45.4332515, 12.3210704)",Italy,263104,2016,414,,3,13,,,2,,,2.01,2.14,16.3125,17.625,17.4375,23.625,26.125,29.625,0.408450704,0.402857143,0.370517928,0.591549296,0.597142857,0.629482072,232.0699437,2161.91593,171.9739067,2170.215057,113.3524208,1740.661191,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,635.5169082,57289000000
307,Vilnius,2016,2013,1994560,,"(54.687156, 25.279651)",Lithuania,542626,2015,401,,98,6.8,,62.87,2.3,29.39,2014-2017,1.5,1.57,51.875,57.625,58.375,56.5625,60.875,65,0.478386167,0.48628692,0.473150963,0.521613833,0.51371308,0.526849037,621.341031,5851.57456,1071.783729,8616.347105,991.4519387,7875.156732,0,1,0,0.022280955,0.043781838,0.043781838,1353.182045,14000000000
308,Växjö,2016,2013,,,"(56.879, 14.805852)",Sweden,89500,2016,30.28,,,,,108.478089,2.04,,,1.82,1.82,12.5625,13.25,16.0625,17.625,18.1875,19.125,0.416149068,0.421471173,0.456483126,0.583850932,0.578528827,0.543516874,270.1163325,1569.452995,525.2472819,2686.732759,551.7006189,3055.159616,,,,,,,2955.746367,3487654321
309,Warsaw,2016,2014,11721774,,"(52.2296756, 21.0122287)",Poland,1626514,2016,517,,103,8,,,2.2,37.64,2014-2017,1.39,1.42,281.8125,293.9375,306.375,448.5,479.625,521.375,0.385879332,0.379978993,0.37012987,0.614120668,0.620021007,0.62987013,1871.527963,10370.48534,338.9531659,4368.254517,354.4424334,4231.852215,45000000,6193000000,0.01,0.01068738,0.014901976,0.014871352,3146.061896,1.41096E+11
310,Weifang,2016,2010,,1.01232,"(36.7166666667, 119.1)",China,2044028,,2646.1,191.9,,,35954.39,,,,,1.09,1.17,111.4375,141.4375,178,96.5625,131,207.25,0.535757212,0.51915577,0.462037638,0.464242788,0.48084423,0.537962362,1107.260672,10202.93588,884.2896228,8558.205811,527.3549499,6197.402112,,,,,,,772.4681607,11990433368
311,Wellington,2017,2014,792959,,"(26.661763, -80.268357)",New Zealand,209102,2017,290.1,,,12.7,,,2.6,37.71428571,2014-2015,1.11,1.71,21.25,21.25,20.8125,13.8125,14,14.875,0.606060606,0.602836879,0.583187391,0.393939394,0.397163121,0.416812609,312.8484371,1824.418583,2200.196955,3827.343908,2617.510274,4475.40797,0,1,0,0.013273726,0.023464868,0.023464868,720.7928301,12833100
312,West Hollywood,2016,2008,583213,,"(34.09, -118.3617)",USA,34399,2010,5,,90,19,,,1.59,26.1,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,6879.8,
